 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
        -sort_by group
Design : add3_case
Version: H-2013.03-SP3
Date   : Wed Oct 30 16:51:59 2013
****************************************

Operating Conditions: NCCOM   Library: tcbn40lpbwptc
Wire Load Model Mode: segmented

  Startpoint: a[1] (input port)
  Endpoint: y[31] (output port)
  Path Group: (none)
  Path Type: max

  Des/Clust/Port     Wire Load Model       Library
  ------------------------------------------------
  add3_case          ZeroWireload          tcbn40lpbwptc
  bit2_FA_31         ZeroWireload          tcbn40lpbwptc
  bit2_FA_30         ZeroWireload          tcbn40lpbwptc
  bit2_FA_29         ZeroWireload          tcbn40lpbwptc
  bit2_FA_28         ZeroWireload          tcbn40lpbwptc
  bit2_FA_27         ZeroWireload          tcbn40lpbwptc
  bit2_FA_26         ZeroWireload          tcbn40lpbwptc
  bit2_FA_25         ZeroWireload          tcbn40lpbwptc
  bit2_FA_24         ZeroWireload          tcbn40lpbwptc
  bit2_FA_23         ZeroWireload          tcbn40lpbwptc
  bit2_FA_22         ZeroWireload          tcbn40lpbwptc
  bit2_FA_21         ZeroWireload          tcbn40lpbwptc
  bit2_FA_20         ZeroWireload          tcbn40lpbwptc
  bit2_FA_19         ZeroWireload          tcbn40lpbwptc
  bit2_FA_18         ZeroWireload          tcbn40lpbwptc
  bit2_FA_17         ZeroWireload          tcbn40lpbwptc
  bit2_FA_2          ZeroWireload          tcbn40lpbwptc
  bit2_FA_1          ZeroWireload          tcbn40lpbwptc

  Point                                    Incr       Path
  -----------------------------------------------------------
  input external delay                     0.00       0.00 f
  a[1] (in)                                0.00       0.00 f
  genblk1.fa0[0]/a[1] (bit2_FA_31)         0.00       0.00 f
  genblk1.fa0[0]/U14/ZN (CKND2D0BWP)       0.03       0.03 r
  genblk1.fa0[0]/U13/ZN (OAI21D0BWP)       0.05       0.08 f
  genblk1.fa0[0]/U11/Z (CKMUX2D0BWP)       0.08       0.16 f
  genblk1.fa0[0]/U7/ZN (CKND2D0BWP)        0.03       0.18 r
  genblk1.fa0[0]/cout (bit2_FA_31)         0.00       0.18 r
  genblk1.fa0[1]/c (bit2_FA_30)            0.00       0.18 r
  genblk1.fa0[1]/U10/ZN (CKND0BWP)         0.04       0.22 f
  genblk1.fa0[1]/U9/ZN (IAO21D0BWP)        0.05       0.27 r
  genblk1.fa0[1]/U8/ZN (OAI21D0BWP)        0.05       0.32 f
  genblk1.fa0[1]/U7/ZN (CKND2D0BWP)        0.03       0.34 r
  genblk1.fa0[1]/cout (bit2_FA_30)         0.00       0.34 r
  genblk1.fa0[2]/c (bit2_FA_29)            0.00       0.34 r
  genblk1.fa0[2]/U10/ZN (CKND0BWP)         0.04       0.38 f
  genblk1.fa0[2]/U9/ZN (IAO21D0BWP)        0.05       0.43 r
  genblk1.fa0[2]/U8/ZN (OAI21D0BWP)        0.05       0.48 f
  genblk1.fa0[2]/U7/ZN (CKND2D0BWP)        0.03       0.51 r
